LocTypeName,Location,Time,TPopulation1July
Development group,More developed regions,1990,1141489.323
Development group,More developed regions,1991,1148125.408
Development group,More developed regions,1992,1154342.616
Development group,More developed regions,1993,1159995.484
Development group,More developed regions,1994,1164984.822
Development group,More developed regions,1995,1169482.911
Development group,More developed regions,1996,1173820.499
Development group,More developed regions,1997,1178181.45
Development group,More developed regions,1998,1182268.606
Development group,More developed regions,1999,1185994.204
Development group,More developed regions,2000,1189851.258
Development group,More developed regions,2001,1193679.488
Development group,More developed regions,2002,1197463.131
Development group,More developed regions,2003,1201500.95
Development group,More developed regions,2004,1205826.316
Development group,More developed regions,2005,1210237.918
Development group,More developed regions,2006,1214817.816
Development group,More developed regions,2007,1220183.669
Development group,More developed regions,2008,1225881.271
Development group,More developed regions,2009,1231215.428
Development group,More developed regions,2010,1236019.858
Development group,More developed regions,2011,1240661.231
Development group,More developed regions,2012,1245369.82
Development group,More developed regions,2013,1249819.613
Development group,More developed regions,2014,1254038.525
Development group,More developed regions,2015,1258234.127
Development group,More developed regions,2016,1262624.901
Development group,More developed regions,2017,1266919.156
Development group,More developed regions,2018,1270733.489
Development group,More developed regions,2019,1274265.448
Development group,More developed regions,2020,1276157.972
Development group,Less developed regions,1990,4174686.539
Development group,Less developed regions,1991,4258120.46
Development group,Less developed regions,1992,4338343.477
Development group,Less developed regions,1993,4417438.038
Development group,Less developed regions,1994,4495743.171
Development group,Less developed regions,1995,4573736.543
Development group,Less developed regions,1996,4651324.798
Development group,Less developed regions,1997,4728299.811
Development group,Less developed regions,1998,4805043.874
Development group,Less developed regions,1999,4881764.254
Development group,Less developed regions,2000,4959047.717
Development group,Less developed regions,2001,5037067.494
Development group,Less developed regions,2002,5114944.229
Development group,Less developed regions,2003,5192397.416
Development group,Less developed regions,2004,5269925.162
Development group,Less developed regions,2005,5347938.202
Development group,Less developed regions,2006,5426598.402
Development group,Less developed regions,2007,5505764.876
Development group,Less developed regions,2008,5585716.002
Development group,Less developed regions,2009,5667090.48
Development group,Less developed regions,2010,5749583.247
Development group,Less developed regions,2011,5832464.194
Development group,Less developed regions,2012,5916328.1
Development group,Less developed regions,2013,6000773.757
Development group,Less developed regions,2014,6084974.895
Development group,Less developed regions,2015,6168363.409
Development group,Less developed regions,2016,6250849.337
Development group,Less developed regions,2017,6332903.248
Development group,Less developed regions,2018,6413056.338
Development group,Less developed regions,2019,6490685.584
Development group,Less developed regions,2020,6564794.908
Development group,Least developed countries,1990,513968.731
Development group,Least developed countries,1991,526535.603
Development group,Least developed countries,1992,540619.181
Development group,Least developed countries,1993,555923.632
Development group,Least developed countries,1994,570870.49
Development group,Least developed countries,1995,585613.277
Development group,Least developed countries,1996,600451.252
Development group,Least developed countries,1997,615302.202
Development group,Least developed countries,1998,630487.969
Development group,Least developed countries,1999,646252.003
Development group,Least developed countries,2000,662018.172
Development group,Least developed countries,2001,678096.207
Development group,Least developed countries,2002,695718.32
Development group,Least developed countries,2003,713914.588
Development group,Least developed countries,2004,731736.888
Development group,Least developed countries,2005,749852.832
Development group,Least developed countries,2006,768211.301
Development group,Least developed countries,2007,786317.081
Development group,Least developed countries,2008,804637.336
Development group,Least developed countries,2009,823699.831
Development group,Least developed countries,2010,843512.716
Development group,Least developed countries,2011,864134.637
Development group,Least developed countries,2012,885375.142
Development group,Least developed countries,2013,907133.96
Development group,Least developed countries,2014,929398.043
Development group,Least developed countries,2015,951928.214
Development group,Least developed countries,2016,975265.946
Development group,Least developed countries,2017,999288.86
Development group,Least developed countries,2018,1023493.79
Development group,Least developed countries,2019,1048193.55
Development group,Least developed countries,2020,1073743.45
Development group,"Less developed regions, excluding least developed countries",1990,3660717.808
Development group,"Less developed regions, excluding least developed countries",1991,3731584.857
Development group,"Less developed regions, excluding least developed countries",1992,3797724.296
Development group,"Less developed regions, excluding least developed countries",1993,3861514.406
Development group,"Less developed regions, excluding least developed countries",1994,3924872.681
Development group,"Less developed regions, excluding least developed countries",1995,3988123.266
Development group,"Less developed regions, excluding least developed countries",1996,4050873.547
Development group,"Less developed regions, excluding least developed countries",1997,4112997.609
Development group,"Less developed regions, excluding least developed countries",1998,4174555.906
Development group,"Less developed regions, excluding least developed countries",1999,4235512.251
Development group,"Less developed regions, excluding least developed countries",2000,4297029.546
Development group,"Less developed regions, excluding least developed countries",2001,4358971.287
Development group,"Less developed regions, excluding least developed countries",2002,4419225.909
Development group,"Less developed regions, excluding least developed countries",2003,4478482.827
Development group,"Less developed regions, excluding least developed countries",2004,4538188.274
Development group,"Less developed regions, excluding least developed countries",2005,4598085.37
Development group,"Less developed regions, excluding least developed countries",2006,4658387.1
Development group,"Less developed regions, excluding least developed countries",2007,4719447.795
Development group,"Less developed regions, excluding least developed countries",2008,4781078.665
Development group,"Less developed regions, excluding least developed countries",2009,4843390.65
Development group,"Less developed regions, excluding least developed countries",2010,4906070.53
Development group,"Less developed regions, excluding least developed countries",2011,4968329.558
Development group,"Less developed regions, excluding least developed countries",2012,5030952.958
Development group,"Less developed regions, excluding least developed countries",2013,5093639.797
Development group,"Less developed regions, excluding least developed countries",2014,5155576.852
Development group,"Less developed regions, excluding least developed countries",2015,5216435.194
Development group,"Less developed regions, excluding least developed countries",2016,5275583.39
Development group,"Less developed regions, excluding least developed countries",2017,5333614.388
Development group,"Less developed regions, excluding least developed countries",2018,5389562.548
Development group,"Less developed regions, excluding least developed countries",2019,5442492.034
Development group,"Less developed regions, excluding least developed countries",2020,5491051.458
Development group,"Less developed regions, excluding China",1990,2994207.312
Development group,"Less developed regions, excluding China",1991,3060437.832
Development group,"Less developed regions, excluding China",1992,3127197.81
Development group,"Less developed regions, excluding China",1993,3193986.243
Development group,"Less developed regions, excluding China",1994,3260605.572
Development group,"Less developed regions, excluding China",1995,3327495.804
Development group,"Less developed regions, excluding China",1996,3394675.793
Development group,"Less developed regions, excluding China",1997,3461880.584
Development group,"Less developed regions, excluding China",1998,3529329.264
Development group,"Less developed regions, excluding China",1999,3597206.322
Development group,"Less developed regions, excluding China",2000,3665590.826
Development group,"Less developed regions, excluding China",2001,3734754.124
Development group,"Less developed regions, excluding China",2002,3804249.98
Development group,"Less developed regions, excluding China",2003,3873581.378
Development group,"Less developed regions, excluding China",2004,3943013.824
Development group,"Less developed regions, excluding China",2005,4012828.84
Development group,"Less developed regions, excluding China",2006,4083174.402
Development group,"Less developed regions, excluding China",2007,4153792.558
Development group,"Less developed regions, excluding China",2008,4224970.817
Development group,"Less developed regions, excluding China",2009,4297283.188
Development group,"Less developed regions, excluding China",2010,4370619.062
Development group,"Less developed regions, excluding China",2011,4444479.276
Development group,"Less developed regions, excluding China",2012,4518716.398
Development group,"Less developed regions, excluding China",2013,4593452.916
Development group,"Less developed regions, excluding China",2014,4668406.364
Development group,"Less developed regions, excluding China",2015,4743120.747
Development group,"Less developed regions, excluding China",2016,4817302.57
Development group,"Less developed regions, excluding China",2017,4890862.14
Development group,"Less developed regions, excluding China",2018,4964128.138
Development group,"Less developed regions, excluding China",2019,5036884.042
Development group,"Less developed regions, excluding China",2020,5107866.422
Development group,Land-locked Developing Countries (LLDC),1990,266425.357
Development group,Land-locked Developing Countries (LLDC),1991,273390.514
Development group,Land-locked Developing Countries (LLDC),1992,281538.622
Development group,Land-locked Developing Countries (LLDC),1993,289123.156
Development group,Land-locked Developing Countries (LLDC),1994,294627.336
Development group,Land-locked Developing Countries (LLDC),1995,300367.465
Development group,Land-locked Developing Countries (LLDC),1996,307862.516
Development group,Land-locked Developing Countries (LLDC),1997,315201.192
Development group,Land-locked Developing Countries (LLDC),1998,321957.791
Development group,Land-locked Developing Countries (LLDC),1999,329006.157
Development group,Land-locked Developing Countries (LLDC),2000,335934.41
Development group,Land-locked Developing Countries (LLDC),2001,342941.502
Development group,Land-locked Developing Countries (LLDC),2002,351371.219
Development group,Land-locked Developing Countries (LLDC),2003,360444.724
Development group,Land-locked Developing Countries (LLDC),2004,369046.454
Development group,Land-locked Developing Countries (LLDC),2005,377754.836
Development group,Land-locked Developing Countries (LLDC),2006,386852.357
Development group,Land-locked Developing Countries (LLDC),2007,395642.095
Development group,Land-locked Developing Countries (LLDC),2008,404775.191
Development group,Land-locked Developing Countries (LLDC),2009,414699.068
Development group,Land-locked Developing Countries (LLDC),2010,424788.219
Development group,Land-locked Developing Countries (LLDC),2011,435309.302
Development group,Land-locked Developing Countries (LLDC),2012,446077.942
Development group,Land-locked Developing Countries (LLDC),2013,456858.816
Development group,Land-locked Developing Countries (LLDC),2014,467737.334
Development group,Land-locked Developing Countries (LLDC),2015,478577.578
Development group,Land-locked Developing Countries (LLDC),2016,489620.28
Development group,Land-locked Developing Countries (LLDC),2017,500950.608
Development group,Land-locked Developing Countries (LLDC),2018,512657.921
Development group,Land-locked Developing Countries (LLDC),2019,524971.858
Development group,Land-locked Developing Countries (LLDC),2020,537864.814
Development group,Small Island Developing States (SIDS),1990,49385.404
Development group,Small Island Developing States (SIDS),1991,50216.323
Development group,Small Island Developing States (SIDS),1992,51071.353
Development group,Small Island Developing States (SIDS),1993,51926.566
Development group,Small Island Developing States (SIDS),1994,52769.514
Development group,Small Island Developing States (SIDS),1995,53604.834
Development group,Small Island Developing States (SIDS),1996,54441.734
Development group,Small Island Developing States (SIDS),1997,55280.401
Development group,Small Island Developing States (SIDS),1998,56111.816
Development group,Small Island Developing States (SIDS),1999,56931.601
Development group,Small Island Developing States (SIDS),2000,57722.558
Development group,Small Island Developing States (SIDS),2001,58474.299
Development group,Small Island Developing States (SIDS),2002,59206.676
Development group,Small Island Developing States (SIDS),2003,59941.763
Development group,Small Island Developing States (SIDS),2004,60687.966
Development group,Small Island Developing States (SIDS),2005,61474.396
Development group,Small Island Developing States (SIDS),2006,62339.31
Development group,Small Island Developing States (SIDS),2007,63245.048
Development group,Small Island Developing States (SIDS),2008,64148.83
Development group,Small Island Developing States (SIDS),2009,65055.634
Development group,Small Island Developing States (SIDS),2010,65870.84
Development group,Small Island Developing States (SIDS),2011,66614.452
Development group,Small Island Developing States (SIDS),2012,67397.005
Development group,Small Island Developing States (SIDS),2013,68192.572
Development group,Small Island Developing States (SIDS),2014,68979.527
Development group,Small Island Developing States (SIDS),2015,69737.593
Development group,Small Island Developing States (SIDS),2016,70454.39
Development group,Small Island Developing States (SIDS),2017,71143.828
Development group,Small Island Developing States (SIDS),2018,71869.588
Development group,Small Island Developing States (SIDS),2019,72558.35
Development group,Small Island Developing States (SIDS),2020,73173.242
