LocTypeName,Location,Time,AgeGrp,PopMale,PopFemale,PopTotal
Geographic region,Africa,1990,0-4,8.903,8.686,17.589
Geographic region,Africa,1990,15-19,5.245,5.165,10.41
Geographic region,Africa,1990,20-24,4.445,4.455,8.9
Geographic region,Africa,1990,25-29,3.665,3.741,7.405
Geographic region,Africa,1990,30-34,2.985,3.093,6.078
Geographic region,Africa,1990,35-39,2.47,2.561,5.031
Geographic region,Africa,1990,40-44,2.027,2.089,4.116
Geographic region,Africa,1990,45-49,1.624,1.7,3.323
Geographic region,Africa,1990,50-54,1.329,1.425,2.753
Geographic region,Africa,1990,55-59,1.094,1.203,2.297
Geographic region,Africa,1990,60-64,0.861,0.979,1.839
Geographic region,Africa,1990,65-69,0.63,0.732,1.361
Geographic region,Africa,1990,70-74,0.412,0.495,0.906
Geographic region,Africa,1990,75-79,0.233,0.295,0.527
Geographic region,Africa,1990,80-84,0.105,0.144,0.249
Geographic region,Africa,1990,85-89,0.035,0.052,0.087
Geographic region,Africa,1990,90-94,0.008,0.013,0.021
Geographic region,Africa,1990,95-99,0.001,0.002,0.003
Geographic region,Africa,1990,100+,0,0,0
Geographic region,Africa,1991,0-4,8.829,8.609,17.438
Geographic region,Africa,1991,15-19,5.244,5.164,10.407
Geographic region,Africa,1991,20-24,4.45,4.458,8.909
Geographic region,Africa,1991,25-29,3.69,3.759,7.449
Geographic region,Africa,1991,30-34,3.002,3.106,6.108
Geographic region,Africa,1991,35-39,2.479,2.571,5.05
Geographic region,Africa,1991,40-44,2.028,2.094,4.123
Geographic region,Africa,1991,45-49,1.635,1.708,3.342
Geographic region,Africa,1991,50-54,1.319,1.414,2.733
Geographic region,Africa,1991,55-59,1.086,1.193,2.279
Geographic region,Africa,1991,60-64,0.858,0.975,1.833
Geographic region,Africa,1991,65-69,0.629,0.733,1.363
Geographic region,Africa,1991,70-74,0.412,0.496,0.908
Geographic region,Africa,1991,75-79,0.233,0.295,0.529
Geographic region,Africa,1991,80-84,0.106,0.145,0.25
Geographic region,Africa,1991,85-89,0.035,0.053,0.088
Geographic region,Africa,1991,90-94,0.008,0.013,0.021
Geographic region,Africa,1991,95-99,0.001,0.002,0.003
Geographic region,Africa,1991,100+,0,0,0
Geographic region,Africa,1992,0-4,8.751,8.531,17.283
Geographic region,Africa,1992,15-19,5.25,5.175,10.425
Geographic region,Africa,1992,20-24,4.449,4.459,8.908
Geographic region,Africa,1992,25-29,3.708,3.775,7.484
Geographic region,Africa,1992,30-34,3.021,3.122,6.143
Geographic region,Africa,1992,35-39,2.484,2.579,5.063
Geographic region,Africa,1992,40-44,2.029,2.1,4.129
Geographic region,Africa,1992,45-49,1.647,1.718,3.366
Geographic region,Africa,1992,50-54,1.31,1.405,2.714
Geographic region,Africa,1992,55-59,1.077,1.185,2.262
Geographic region,Africa,1992,60-64,0.855,0.972,1.827
Geographic region,Africa,1992,65-69,0.629,0.736,1.365
Geographic region,Africa,1992,70-74,0.413,0.497,0.91
Geographic region,Africa,1992,75-79,0.234,0.296,0.53
Geographic region,Africa,1992,80-84,0.106,0.145,0.251
Geographic region,Africa,1992,85-89,0.035,0.053,0.088
Geographic region,Africa,1992,90-94,0.008,0.013,0.021
Geographic region,Africa,1992,95-99,0.001,0.002,0.003
Geographic region,Africa,1992,100+,0,0,0
Geographic region,Africa,1993,0-4,8.677,8.459,17.136
Geographic region,Africa,1993,15-19,5.276,5.203,10.478
Geographic region,Africa,1993,20-24,4.445,4.454,8.899
Geographic region,Africa,1993,25-29,3.719,3.787,7.506
Geographic region,Africa,1993,30-34,3.037,3.14,6.177
Geographic region,Africa,1993,35-39,2.485,2.589,5.074
Geographic region,Africa,1993,40-44,2.032,2.113,4.144
Geographic region,Africa,1993,45-49,1.655,1.729,3.384
Geographic region,Africa,1993,50-54,1.303,1.398,2.701
Geographic region,Africa,1993,55-59,1.067,1.176,2.243
Geographic region,Africa,1993,60-64,0.849,0.968,1.817
Geographic region,Africa,1993,65-69,0.627,0.738,1.366
Geographic region,Africa,1993,70-74,0.413,0.5,0.913
Geographic region,Africa,1993,75-79,0.234,0.296,0.53
Geographic region,Africa,1993,80-84,0.106,0.146,0.252
Geographic region,Africa,1993,85-89,0.035,0.054,0.089
Geographic region,Africa,1993,90-94,0.008,0.013,0.021
Geographic region,Africa,1993,95-99,0.001,0.002,0.003
Geographic region,Africa,1993,100+,0,0,0
Geographic region,Africa,1994,0-4,8.6,8.384,16.984
Geographic region,Africa,1994,15-19,5.319,5.241,10.56
Geographic region,Africa,1994,20-24,4.449,4.453,8.902
Geographic region,Africa,1994,25-29,3.733,3.805,7.538
Geographic region,Africa,1994,30-34,3.056,3.163,6.22
Geographic region,Africa,1994,35-39,2.488,2.604,5.092
Geographic region,Africa,1994,40-44,2.04,2.133,4.172
Geographic region,Africa,1994,45-49,1.658,1.735,3.392
Geographic region,Africa,1994,50-54,1.3,1.396,2.697
Geographic region,Africa,1994,55-59,1.055,1.166,2.222
Geographic region,Africa,1994,60-64,0.84,0.961,1.8
Geographic region,Africa,1994,65-69,0.624,0.739,1.363
Geographic region,Africa,1994,70-74,0.413,0.502,0.915
Geographic region,Africa,1994,75-79,0.234,0.297,0.531
Geographic region,Africa,1994,80-84,0.107,0.146,0.253
Geographic region,Africa,1994,85-89,0.036,0.054,0.09
Geographic region,Africa,1994,90-94,0.008,0.013,0.021
Geographic region,Africa,1994,95-99,0.001,0.002,0.003
Geographic region,Africa,1994,100+,0,0,0
Geographic region,Africa,1995,0-4,8.529,8.316,16.846
Geographic region,Africa,1995,15-19,5.369,5.287,10.656
