LocTypeName,Location,Time,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,PopGrowthRate,TFR,NetMigrations,CNMR
Geographic region,Africa,1990,638157.236,317582.074,320575.162,21.5951,99.0663,16.4565,2.651,5.9145,-563.433,-0.882
Geographic region,Africa,1991,655040.493,326028.019,329012.474,22.1664,99.0929,16.4931,2.572,5.8322,-796.123,-1.215
Geographic region,Africa,1992,671931.548,334385.192,337546.356,22.738,99.0635,16.5273,2.52,5.7601,-866.013,-1.288
Geographic region,Africa,1993,689139.958,342813.212,346326.747,23.3204,98.9855,16.5577,2.537,5.6737,-672.089,-0.975
Geographic region,Africa,1994,706488.294,351326.525,355161.769,23.9074,98.9201,16.615,2.436,5.5881,-760.879,-1.076
Geographic region,Africa,1995,724331.67,360078.737,364252.932,24.5112,98.854,16.6868,2.551,5.5085,-398.429,-0.55
Geographic region,Africa,1996,742764.748,369120.095,373644.653,25.135,98.7891,16.746,2.476,5.4226,-721.786,-0.971
Geographic region,Africa,1997,761224.444,378288.926,382935.519,25.7597,98.7866,16.8197,2.434,5.3396,-822.98,-1.08
Geographic region,Africa,1998,779908.035,387638.242,392269.793,26.3919,98.8193,16.9197,2.416,5.2733,-566.302,-0.726
Geographic region,Africa,1999,799099.34,397213.955,401885.384,27.0414,98.8376,17.0293,2.446,5.2221,-672.585,-0.841
Geographic region,Africa,2000,818952.057,407147.292,411804.765,27.7132,98.869,17.1351,2.462,5.1759,-671.25,-0.819
Geographic region,Africa,2001,839463.871,417423.02,422040.851,28.4073,98.9058,17.2377,2.485,5.1381,-530.268,-0.631
Geographic region,Africa,2002,860611.461,428032.134,432579.328,29.1229,98.9488,17.3389,2.491,5.0952,-516.839,-0.6
Geographic region,Africa,2003,882349.262,438961.087,443388.176,29.8585,99.0015,17.4395,2.498,5.0573,-531.988,-0.603
Geographic region,Africa,2004,904781.335,450234.265,454547.07,30.6176,99.0512,17.5386,2.523,5.0211,-431.623,-0.477
Geographic region,Africa,2005,927898.1,461839.139,466058.961,31.3999,99.0946,17.6326,2.523,4.9978,-672.99,-0.725
Geographic region,Africa,2006,951740.272,473825.139,477915.133,32.2067,99.1442,17.7196,2.551,4.9741,-655.013,-0.688
Geographic region,Africa,2007,976461.444,486272.001,490189.443,33.0433,99.2008,17.8005,2.578,4.9524,-586.961,-0.601
Geographic region,Africa,2008,1001981.281,499111.276,502870.004,33.9068,99.2525,17.8731,2.582,4.9344,-771.128,-0.769
Geographic region,Africa,2009,1028200.282,512282.943,515917.339,34.7941,99.2955,17.9388,2.584,4.8935,-875.118,-0.851
Geographic region,Africa,2010,1055233.397,525866.142,529367.255,35.7089,99.3386,17.9981,2.606,4.8588,-769.334,-0.729
Geographic region,Africa,2011,1082675.8,539676.243,542999.558,36.6375,99.388,18.0466,2.53,4.8151,-1671.358,-1.542
Geographic region,Africa,2012,1110797.234,553822.182,556975.052,37.5891,99.4339,18.0902,2.598,4.7709,-842.681,-0.758
Geographic region,Africa,2013,1140180.58,568590.646,571589.934,38.5835,99.4753,18.1373,2.623,4.7225,-402.897,-0.353
Geographic region,Africa,2014,1170299.023,583740.914,586558.109,39.6027,99.5197,18.1886,2.592,4.6731,-599.706,-0.512
Geographic region,Africa,2015,1201107.938,599298.326,601809.613,40.6452,99.5827,18.2447,2.605,4.6305,-190.608,-0.159
Geographic region,Africa,2016,1232111.604,614883.174,617228.429,41.6944,99.62,18.2978,2.493,4.5602,-1146.546,-0.93
Geographic region,Africa,2017,1263333.733,630519.659,632814.074,42.7509,99.6374,18.3512,2.512,4.5154,-679.993,-0.538
Geographic region,Africa,2018,1295265.049,646554.743,648710.306,43.8315,99.6677,18.4151,2.481,4.4696,-815.057,-0.629
Geographic region,Africa,2019,1327701.163,662826.918,664874.245,44.9291,99.6921,18.4881,2.466,4.419,-716.657,-0.54
Geographic region,Africa,2020,1360677.231,679360.412,681316.818,46.045,99.7128,18.568,2.441,4.3614,-202.152,-0.149
Geographic region,Asia,1990,3211352.076,1635840.345,1575511.732,102.3912,103.8291,21.8573,1.897,3.3146,-1289.13,-0.401
Geographic region,Asia,1991,3269852.938,1665891.602,1603961.336,104.2565,103.8611,22.1129,1.715,3.0473,-1005.863,-0.308
Geographic region,Asia,1992,3325187.718,1694364.482,1630823.237,106.0208,103.8963,22.4033,1.642,2.9341,-1228.958,-0.37
Geographic region,Asia,1993,3379061.307,1722072.169,1656989.138,107.7385,103.9278,22.7047,1.573,2.8549,-1672.659,-0.495
Geographic region,Asia,1994,3432015.23,1749325.481,1682689.748,109.4269,103.9601,23.013,1.537,2.7954,-1422.43,-0.414
Geographic region,Asia,1995,3484178.996,1776188.339,1707990.658,111.0901,103.9929,23.328,1.481,2.7364,-1788.464,-0.513
Geographic region,Asia,1996,3535423.902,1802585.928,1732837.974,112.724,104.0251,23.6431,1.44,2.68,-1470.64,-0.416
Geographic region,Asia,1997,3586095.561,1828680.498,1757415.063,114.3396,104.0551,23.9576,1.406,2.635,-1347.181,-0.376
Geographic region,Asia,1998,3636357.351,1854514.511,1781842.84,115.9421,104.0785,24.276,1.377,2.5909,-1153.262,-0.317
Geographic region,Asia,1999,3686164.145,1880113.069,1806051.076,117.5302,104.1008,24.5916,1.344,2.5553,-1144.928,-0.311
Geographic region,Asia,2000,3736037.844,1905806.476,1830231.369,119.1204,104.1293,24.8943,1.344,2.5652,-1359.569,-0.364
Geographic region,Asia,2001,3786179.783,1931561.831,1854617.952,120.7191,104.1488,25.1792,1.322,2.5196,-1024.451,-0.271
Geographic region,Asia,2002,3835669.459,1956854.191,1878815.268,122.297,104.1536,25.4522,1.275,2.4812,-1658.162,-0.432
Geographic region,Asia,2003,3884310.944,1981677.478,1902633.466,123.8479,104.1545,25.7177,1.245,2.4428,-1654.305,-0.426
Geographic region,Asia,2004,3932421.014,2006207.417,1926213.596,125.3819,104.1529,25.9789,1.217,2.4236,-1896.061,-0.482
Geographic region,Asia,2005,3980365.939,2030694.172,1949671.766,126.9106,104.1557,26.2323,1.207,2.3934,-1362.498,-0.342
Geographic region,Asia,2006,4028347.034,2055288.018,1973059.015,128.4404,104.1676,26.4912,1.19,2.3727,-1536.326,-0.381
Geographic region,Asia,2007,4076071.75,2079805.745,1996266.005,129.9621,104.1848,26.7579,1.166,2.3641,-2228.125,-0.546
Geographic region,Asia,2008,4123883.055,2104330.248,2019552.808,131.4865,104.1978,27.0313,1.166,2.3539,-1646.146,-0.399
Geographic region,Asia,2009,4172450.399,2129143.146,2043307.253,133.035,104.2008,27.3111,1.175,2.3412,-1079.958,-0.259
Geographic region,Asia,2010,4221171.012,2153888.758,2067282.253,134.5884,104.1894,27.6054,1.147,2.3094,-1237.569,-0.293
Geographic region,Asia,2011,4269623.979,2178413.68,2091210.298,136.1333,104.17,27.91,1.136,2.2877,-781.368,-0.183
Geographic region,Asia,2012,4318321.904,2203086.129,2115235.775,137.686,104.1532,28.2075,1.132,2.3146,-1636.02,-0.379
Geographic region,Asia,2013,4366453.707,2227449.601,2139004.107,139.2206,104.1349,28.4994,1.085,2.2709,-1805.714,-0.413
Geographic region,Asia,2014,4413673.348,2251334.485,2162338.863,140.7262,104.1157,28.7967,1.066,2.2553,-1538.423,-0.349
Geographic region,Asia,2015,4459437.458,2274426.99,2185010.468,142.1854,104.0923,29.1079,0.997,2.2091,-2395.443,-0.537
Geographic region,Asia,2016,4504153.488,2296827.138,2207326.351,143.6111,104.0547,29.4286,0.999,2.2242,-2112.685,-0.469
Geographic region,Asia,2017,4548303.446,2318756.907,2229546.539,145.0188,104.0013,29.7552,0.953,2.2013,-2494.717,-0.548
Geographic region,Asia,2018,4590021.502,2339332.414,2250689.088,146.3489,103.9385,30.1029,0.874,2.1115,-2340.072,-0.51
Geographic region,Asia,2019,4628967.396,2358387.887,2270579.508,147.5907,103.8672,30.464,0.816,2.0651,-2466.035,-0.533
