LocTypeName,Location,Time,TPopulation1July,PopGrowthRate
Geographic region,Africa,1990,638157.236,2.651
Geographic region,Africa,1991,655040.493,2.572
Geographic region,Africa,1992,671931.548,2.52
Geographic region,Africa,1993,689139.958,2.537
Geographic region,Africa,1994,706488.294,2.436
Geographic region,Africa,1995,724331.67,2.551
Geographic region,Africa,1996,742764.748,2.476
Geographic region,Africa,1997,761224.444,2.434
Geographic region,Africa,1998,779908.035,2.416
Geographic region,Africa,1999,799099.34,2.446
Geographic region,Africa,2000,818952.057,2.462
Geographic region,Africa,2001,839463.871,2.485
Geographic region,Africa,2002,860611.461,2.491
Geographic region,Africa,2003,882349.262,2.498
Geographic region,Africa,2004,904781.335,2.523
Geographic region,Africa,2005,927898.1,2.523
Geographic region,Africa,2006,951740.272,2.551
Geographic region,Africa,2007,976461.444,2.578
Geographic region,Africa,2008,1001981.281,2.582
Geographic region,Africa,2009,1028200.282,2.584
Geographic region,Africa,2010,1055233.397,2.606
Geographic region,Africa,2011,1082675.8,2.53
Geographic region,Africa,2012,1110797.234,2.598
Geographic region,Africa,2013,1140180.58,2.623
Geographic region,Africa,2014,1170299.023,2.592
Geographic region,Africa,2015,1201107.938,2.605
Geographic region,Africa,2016,1232111.604,2.493
Geographic region,Africa,2017,1263333.733,2.512
Geographic region,Africa,2018,1295265.049,2.481
Geographic region,Africa,2019,1327701.163,2.466
Geographic region,Africa,2020,1360677.231,2.441
Geographic region,Asia,1990,3211352.076,1.897
Geographic region,Asia,1991,3269852.938,1.715
Geographic region,Asia,1992,3325187.718,1.642
Geographic region,Asia,1993,3379061.307,1.573
Geographic region,Asia,1994,3432015.23,1.537
Geographic region,Asia,1995,3484178.996,1.481
Geographic region,Asia,1996,3535423.902,1.44
Geographic region,Asia,1997,3586095.561,1.406
Geographic region,Asia,1998,3636357.351,1.377
Geographic region,Asia,1999,3686164.145,1.344
Geographic region,Asia,2000,3736037.844,1.344
Geographic region,Asia,2001,3786179.783,1.322
Geographic region,Asia,2002,3835669.459,1.275
Geographic region,Asia,2003,3884310.944,1.245
Geographic region,Asia,2004,3932421.014,1.217
Geographic region,Asia,2005,3980365.939,1.207
