LocTypeName,Location,Time,TPopulation1July
Subregion,Eastern Africa,1990,196984.083
Subregion,Eastern Africa,1991,202552.22
Subregion,Eastern Africa,1992,208086.347
Subregion,Eastern Africa,1993,213837.144
Subregion,Eastern Africa,1994,218904.152
Subregion,Eastern Africa,1995,224339.858
Subregion,Eastern Africa,1996,231216.638
Subregion,Eastern Africa,1997,238099.53
Subregion,Eastern Africa,1998,244687.812
Subregion,Eastern Africa,1999,251440.802
Subregion,Eastern Africa,2000,258473.864
Subregion,Eastern Africa,2001,265726.962
Subregion,Eastern Africa,2002,273243.843
Subregion,Eastern Africa,2003,281066.591
Subregion,Eastern Africa,2004,289158.122
Subregion,Eastern Africa,2005,297412.725
Subregion,Eastern Africa,2006,305920.805
Subregion,Eastern Africa,2007,314759.923
Subregion,Eastern Africa,2008,323863.939
Subregion,Eastern Africa,2009,333141.26
Subregion,Eastern Africa,2010,342740.307
Subregion,Eastern Africa,2011,352512.195
Subregion,Eastern Africa,2012,362460.568
Subregion,Eastern Africa,2013,372761.155
Subregion,Eastern Africa,2014,383013.54
Subregion,Eastern Africa,2015,393349.057
Subregion,Eastern Africa,2016,404071.811
Subregion,Eastern Africa,2017,414917.571
Subregion,Eastern Africa,2018,425948.172
Subregion,Eastern Africa,2019,437462.042
Subregion,Eastern Africa,2020,449292.465
Subregion,Middle Africa,1990,71837.342
Subregion,Middle Africa,1991,74210.599
Subregion,Middle Africa,1992,76573.455
Subregion,Middle Africa,1993,78951.29
Subregion,Middle Africa,1994,82037.21
Subregion,Middle Africa,1995,85133.345
Subregion,Middle Africa,1996,87326.424
Subregion,Middle Africa,1997,89341.939
Subregion,Middle Africa,1998,91757.688
Subregion,Middle Africa,1999,94488.473
Subregion,Middle Africa,2000,97355.936
Subregion,Middle Africa,2001,100351.292
Subregion,Middle Africa,2002,103438.07
Subregion,Middle Africa,2003,106654.008
Subregion,Middle Africa,2004,110068.953
Subregion,Middle Africa,2005,113647.821
Subregion,Middle Africa,2006,117342.269
Subregion,Middle Africa,2007,121174.033
Subregion,Middle Africa,2008,125142.778
Subregion,Middle Africa,2009,129290.433
Subregion,Middle Africa,2010,133613.925
Subregion,Middle Africa,2011,138099.354
Subregion,Middle Africa,2012,142680.579
Subregion,Middle Africa,2013,147427.059
Subregion,Middle Africa,2014,152363.767
Subregion,Middle Africa,2015,157397.878
Subregion,Middle Africa,2016,162670.703
Subregion,Middle Africa,2017,168078.993
Subregion,Middle Africa,2018,173483.134
Subregion,Middle Africa,2019,178960.158
Subregion,Middle Africa,2020,184569.895
Subregion,Northern Africa,1990,141249.94
Subregion,Northern Africa,1991,144335.847
Subregion,Northern Africa,1992,147355.316
Subregion,Northern Africa,1993,150423.824
Subregion,Northern Africa,1994,153602.927
Subregion,Northern Africa,1995,156770.124
Subregion,Northern Africa,1996,159881.567
Subregion,Northern Africa,1997,163013.639
Subregion,Northern Africa,1998,166094.351
